ASV_ID,ER1,ER2,ER3,ExtCtrl,G1R1,G1R2,G1R3,G2R1,G2R2,G2R3,MockPosCtrl,PCRCtrl,RP1R1,RP1R2,RP1R3,RP2R1,RP2R2,RP2R3,SL1R1,SL1R2,SL1R3,SL2R1,SL2R2,SL2R3
ed459da466750ea9c3a754c131bd8705,0,0,0,0,0,0,0,0,0,0,0,0,835,3152,1152,1197,356,0,0,0,0,0,0,0
2441374ac642c330f5d077c7325f202e,0,0,0,0,757,703,322,1540,1213,1788,0,0,0,0,0,0,0,0,0,0,0,0,355,0
dd0bf824c53a4dcfc86bf44ccf7569aa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1347,5323,0,0,0
f5c8e033223fcc9e8b0b316103916eed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1774,4568,0,14,97
6f84ed861617fcdf1aaa9a0027794c92,0,0,0,0,852,620,540,1088,1307,1635,0,0,0,0,0,0,0,0,0,0,0,0,400,0
58b2027314bec46142d3da28ceb56486,0,0,0,0,221,256,201,1777,1508,2238,0,0,0,138,0,0,0,0,0,0,0,0,66,0
84a1877cd69c211f83935fd2dbb36db8,0,0,21,0,0,0,0,0,0,0,0,0,0,309,601,0,0,0,0,39,0,0,1832,3556
43dbe7a27da870170d4dda1e2cb920b1,0,0,0,0,597,546,139,1334,1679,1847,0,0,0,0,0,0,0,0,0,0,0,0,176,0
73ab43d8517c1c820c38fac6e076b7b3,0,0,0,0,868,831,331,1143,1113,1381,0,0,0,0,0,0,0,0,0,0,0,0,639,0
c251ed51a9d662c5ba877015758376c1,1507,1458,1703,0,0,0,0,0,0,0,0,0,0,0,0,160,0,0,0,0,0,1476,0,0
81936af441fafc45a6791acedef0cea0,0,0,0,0,595,556,256,1292,1244,1654,0,0,0,0,0,0,0,0,0,0,0,0,544,0
98801756f5645475ad1131813ad0269a,0,0,0,0,1182,966,1476,481,485,844,0,0,0,0,0,0,0,0,0,0,0,0,511,0
3f1783b0cc7dc939a909fd52b98c7860,1314,1713,1273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1613,0,0
b669ff17476c5d5beb277a9419a076d3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,428,4746,0,600,88
38c509bef516a0444102ae564670372f,0,0,0,0,0,0,0,2158,1339,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2ec727d31f9eed0ad9b8a1c66f57376b,0,0,0,0,496,588,816,1234,1128,933,0,0,0,0,0,0,0,0,0,0,0,0,299,0
73550ced18c6029de8fbfa2fbaa4ad4c,1117,1304,1237,0,0,0,0,0,0,0,0,0,0,0,0,287,0,0,0,0,0,1489,0,0
12735c2cc5658744bc63ec0e438b9d3a,0,0,0,0,640,903,581,913,958,746,0,0,0,0,0,0,0,0,0,0,0,0,692,0
7c4bbcb06f6d9f86657e08505feb7d38,0,0,0,0,497,470,604,1118,1122,1402,0,0,0,0,0,0,0,0,0,0,0,0,215,0
3ccfb577cc7b3d9c24cf0ca34ec297e8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1260,433,3190,0,0,0,0,206,290
78cda4dffce1c6753b5c263cf6b192c1,0,0,0,0,0,0,0,0,0,0,0,1954,0,0,0,0,3374,0,0,0,0,0,0,0
9fc93d79c9cef491d92bde0a93b645a3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,750,538,4037,0,0,0,0,0,0
2416e4a8a4b83de8874e3e047055767e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2534,2772
755fc2b5a2bc92e571179c5492670fb1,0,0,0,0,91,117,16,1515,1550,1898,0,0,0,0,0,0,0,0,0,0,0,0,74,0
e9668f8bb262bb2ead0cef55d767edc5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,718,2608,0,671,1254
61666e3ba91c2eead22807871573a78f,0,0,0,0,322,340,40,1382,1180,1751,0,0,0,0,0,0,0,0,0,0,0,0,185,0
a0b7c1dcd685f9b5443cbdbd745b4f99,1237,1353,1125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1408,0,0
a54a2598b3a93c1f9513e9d0b1ddd46d,0,0,0,0,0,0,0,0,0,0,0,3486,0,102,0,311,0,0,0,0,0,0,72,1141
